Neck	Chest	Abdomen	Hip	Thigh	Knee	Ankle	Biceps	Forearm	Wrist
35.3	93.5	89.6	99.8	61.5	37.8	21.9	30.7	27.6	17.4
38	100.7	92.4	97.5	59.3	38.1	21.8	31.8	27.3	17.5
36.3	97	86.6	92.6	55.9	36.3	22.1	29.8	26.3	17.3
36.8	96	90	99.7	58.8	38.4	22.8	29.9	28	18.1
41	99.2	90	96.4	56.8	38.8	23.3	33.4	29.8	19.5
38.3	95.4	92.4	104.3	64.6	41.1	24.8	33.6	29.5	18.5
38	101.8	87.5	101	58.5	39.2	24.5	32.1	28.6	18
40.8	104.3	99.2	104.1	58.5	39.3	24.6	33.9	31.2	19.5
39.5	99.2	98.1	101.4	57.1	40.5	23.2	33	29.6	18.4
36.9	99.3	83.3	97.5	60.5	38.7	22.6	34.4	28	17.6
36.9	94	86.1	95.2	58.1	36.5	22.1	30.6	27.5	17.6
37.7	98.9	84.1	94	58.5	36.6	23.5	34.4	29.2	18
36.6	101	89.9	100	60.7	36	21.9	35.6	30.2	17.6
38.9	98.7	92.1	98.5	60.7	36.8	22.2	33.8	30.3	17.2
37.5	95.9	78	93.2	53.5	35.8	20.8	33.9	28.2	17.4
39.8	103.9	93.5	99.5	61.7	39	21.8	33.3	29.6	18.1
38.3	96.2	87	97.8	57.4	36.9	22.2	31.6	27.8	17.7
35.5	97.8	90.1	95.8	57	38.7	23.2	27.5	26.5	17.6
36.3	94.6	90.3	99.1	60.3	38.5	23	31.2	28.4	17.1
37.8	103.6	99.8	103.2	61.2	38.1	22.6	33.5	28.6	17.9
37.8	100.4	89.4	92.3	56.1	35.6	20.5	33.6	29.3	17.3
36.5	98.4	87.2	98.4	56	36.9	23	34	29.8	18.1
37.8	104.6	101.1	102.1	58.9	37.9	22.7	30.9	28.8	17.6
37	92.9	86.1	95.6	58.8	36.1	22.4	32.7	28.3	17.1
37.7	97.8	98.6	100.6	63.6	39.2	23.8	34.3	28.4	17.7
34.3	98.3	88.5	98.3	58.1	38.4	22.5	31.7	27.4	17.6
40.8	104.7	106.6	107.7	66.5	42.5	24.5	35.5	29.8	18.7
37.4	98.6	93.1	101.6	59.1	39.6	21.6	30.8	27.9	16.6
36.5	99.5	93	99.3	60.4	38.2	22	32	28.5	17.8
37.5	102.7	91	98.9	57.1	36.7	22.3	31.6	27.5	17.9
35.5	92.1	77.1	93.9	56.1	36.1	22.7	30.5	27.2	18.2
38	96.6	85.3	102.5	59.1	37.6	23.2	31.8	29.7	18.3
35.7	92.7	81.9	95.3	56.4	36.5	22	33.5	28.3	17.3
39.2	102	99.1	110.1	71.2	43.5	25.2	36.1	30.3	18.7
40.9	110.9	100.5	106.2	68.4	40.8	24.6	33.3	29.7	18.4
35.2	92.3	76.5	92.1	51.9	35.7	22	25.8	25.2	16.9
40.6	114.1	106.8	113.9	67.6	42.7	24.7	36	30.4	18.4
35.4	92.9	77.6	93.5	56.9	35.9	20.4	31.6	29	17.8
41.8	108.3	102.9	114.4	72.9	43.5	25.1	38.5	33.8	19.6
34.1	88.5	72.8	91.1	53.6	36.8	23.8	27.8	26.3	17.4
37.9	94	88.2	95.2	56.8	37.4	22.8	30.6	28.3	17.9
38.2	101.1	100.1	105	62.1	40	24.9	33.7	29.2	19.4
35.6	92.1	83.5	98.3	57.3	37.8	21.7	32.2	27.7	17.7
38.5	105.6	105	106.4	68.6	40	25.2	35.2	30.7	19.1
37	98.5	90.8	102.5	60.8	38.5	25	31.6	28	18.6
35.9	88.7	76.6	89.8	50.1	34.8	21.8	27	34.9	16.9
36.2	101.1	92.4	99.3	59.4	39	24.6	30.1	28.2	18.2
35	94	81.2	91.5	52.5	36.6	21	27	26.3	16.5
38.5	103.8	95.6	105.1	61.4	40.6	25	31.3	29.2	19.1
40.7	98.9	92.1	103.5	64	37.3	23.5	33.5	30.6	19.7
36	89.2	83.4	89.6	52.4	35.6	20.4	28.3	26.2	16.5
39.5	111.4	106	108.8	63.8	42	23.4	34	31.2	18.5
40.5	107.5	95.1	104.5	64.8	41.3	25.6	36.4	33.7	19.4
38.5	99.1	90.4	95.6	55.5	34.2	21.9	30.2	28.7	17.7
43.9	108.2	100.4	106.8	63.3	41.7	24.6	37.2	33.1	19.8
40.4	114.9	115.9	111.9	74.4	40.6	24	36.1	31.8	18.8
37.6	99.1	90.8	98.1	60.1	39.1	23.4	32.5	29.8	17.4
37	92.2	81.9	92.8	54.7	36.2	22.1	30.4	27.4	17.7
34	90.8	75	89.2	50	34.8	22	24.8	25.9	16.9
38.4	100.5	90.3	98.7	57.8	37.3	22.4	31	28.7	17.7
38.7	98.2	90.3	99.9	59.2	37.7	21.5	32.4	28.4	17.8
41.5	115.3	108.8	114.4	69.2	42.4	24	35.4	21	20.1
36	96.8	79.4	89.2	50.3	34.8	22.2	31	26.9	16.9
35.3	92.6	83.2	96.4	60	38.1	22	31.5	26.6	16.7
42.1	119.2	110.3	113.9	69.8	42.6	24.8	34.4	29.5	18.4
38	102.7	92.7	101.9	64.7	39.5	24.7	34.8	30.3	18.1
42.8	109.5	104.5	109.9	69.5	43.1	25.8	39.1	32.5	19.9
40	108.5	104.6	109.8	68.1	42.8	24.1	35.6	29	19
33.8	79.3	69.4	85	47.2	33.5	20.2	27.7	24.6	16.5
35.5	95.5	83.6	91.6	54.1	36.2	21.8	31.4	28.3	17.2
35.3	92.3	86.8	96.1	58	39.4	22.7	30	26.4	17.4
37.7	98.9	90.4	95.5	55.4	38.9	22.4	30.5	28.9	17.7
39.4	89.5	83.7	98.1	57.3	39.7	22.6	32.9	29.3	18.2
41.9	117.5	109.3	108.8	67.7	41.3	24.7	37.2	31.8	20
38.5	107.4	98.9	104.1	63.5	39.8	23.5	36.4	30.4	19.1
40.8	109.2	98	101.8	62.8	41.3	24.8	36.6	32.4	18.8
38	103.4	101.2	103.1	61.5	40.4	22.9	33.4	29.2	18.5
36.4	91.4	80.6	92.3	54.3	36.3	21.8	29.6	27.3	17.9
41.8	115.2	113.7	112.4	68.5	45	25.5	37.1	31.2	19.9
40.7	104.9	94.1	102.7	60.6	38.6	24.7	34	30.1	18.7
38.5	106.7	105.7	111.8	65.3	43.3	26	33.7	29.9	18.5
35.4	92.2	85.6	96.5	60.2	38.9	22.4	31.7	27.1	17.1
38.5	101.6	96.6	100.6	61.1	38.4	24.1	32.9	29.8	18.8
35.5	97.8	86	96.2	57.7	38.6	24	31.2	27.3	17.4
36.5	92	89.7	101	62.3	38	22.3	30.8	27.8	16.9
37.6	94	78	99	57.5	40	22.5	30.6	30	18.5
37.4	103.7	89.7	94.2	58.5	39	24.1	33.8	28.8	18.8
37.8	102.7	89.2	99.2	60.2	39.2	23.8	31.7	28.4	18.6
35.2	91.1	85.7	96.9	55.5	35.7	22	29.4	26.6	17.4
37.9	107.2	103.1	105.5	68.8	38.3	23.7	32.1	28.9	18.7
37.9	100.8	89.1	102.6	60.6	39	24	32.9	29.2	18.4
40.9	121.6	113.9	107.1	63.5	40.3	21.8	34.8	30.7	17.4
41.9	105.6	96.3	102	63.3	39.8	24.1	37.3	23.1	19.4
39.1	100.6	93.9	100.1	58.9	37.6	21.4	33.1	29.5	17.3
40.2	102.7	101.3	101.7	60.7	39.4	23.3	36.7	31.6	18.4
36	99.8	83.9	91.8	53	36.2	22.5	31.4	27.5	17.7
34.5	92.9	84.4	94	56	38.2	22.6	29	26.2	17.6
35.8	91.2	79.4	89	51.1	35	21.7	30.9	28.8	17.4
40.2	115.6	104	109	63.7	40.3	23.2	36.8	31	18.9
38.3	98.3	89.7	99.1	56.3	38.8	23	29.5	27.9	18.6
39	103.7	97.6	104.2	60	40.9	25.5	32.7	30	19
37.4	98.7	87.6	96.1	57.1	38.1	21.8	28.6	26.7	18
41.2	119.8	122.1	112.8	62.5	36.9	23.6	34.7	29.1	18.4
34.8	92.8	81.1	96.3	53.8	36.5	21.5	31.3	26.3	17.8
36.9	93.3	81.5	94.4	54.7	39	22.6	27.5	25.9	18.6
39.4	106.8	100	105	63.9	39.2	22.9	35.7	30.4	19.2
37.6	93.9	88.7	94.5	53.7	36.2	22	28.5	25.7	17.1
38.5	99	91.8	96.2	57.7	38.1	23.9	31.4	29.9	18.9
42.5	119.9	110.4	105.5	64.2	42.7	27	38.4	32	19.6
37.4	94.2	87.6	95.6	59.7	40.2	23.4	27.9	27	17.8
35.2	92.7	82.8	91.9	54.4	35.2	22.5	29.4	26.8	17
41.1	106.9	95.3	98.2	57.4	37.1	21.8	34.1	31.1	19.2
33.4	88.8	78.2	87.5	50.8	33	19.7	25.3	22	15.8
37.2	101.7	91.1	97.1	56.6	38.5	22.6	33.4	29.3	18.8
38.3	105.3	96.7	106.6	64	42.6	23.4	33.2	30	18.4
38.1	104	89.4	98.4	58.4	37.4	22.5	34.6	30.1	18.8
37.4	98.6	93	97	55.4	38.8	23.2	32.4	29.7	19
35.2	99.6	86.4	90.1	53	35	21.3	31.7	27.3	16.9
39.4	103.4	96.7	100.7	59.3	38.6	22.8	31.8	29.1	19
38	100.2	88.1	97.8	57.1	38.9	23.6	30.9	29.6	18
35.1	94.9	94.9	100.2	56.8	35.9	21	27.8	26.1	17.6
40.4	97.2	93.3	94	54.3	35.7	21	31.3	28.7	18.3
38.3	104.7	95.6	93.7	54.4	37.1	22.7	30.3	26.3	18.3
40.6	104	98.2	101.1	59.3	40.3	23	32.6	28.5	19
40.2	117.6	113.8	111.8	63.4	41.1	22.3	35.1	29.6	18.5
37.9	95.8	82.8	94.5	61.2	39.1	22.3	29.8	28.9	18.3
40.8	106.4	100.5	100.5	59.2	38.1	24	35.9	30.5	19.1
34.7	93	79.7	87.6	50.7	33.4	20.1	28.5	24.8	16.5
38.8	119.6	118	114.3	61.3	42.1	23.4	34.9	30.1	19.4
41.4	119.7	109	109.1	63.7	42.4	24.6	35.6	30.7	19.5
41.3	115.8	113.4	109.8	65.6	46	25.4	35.3	29.8	19.5
40.7	118.3	106.1	101.6	58.2	38.8	24.1	32.1	29.3	18.5
36.3	97.4	84.3	94.4	54.3	37.5	22.6	29.2	27.3	18.5
40.8	113.7	107.6	110	63.3	44	22.6	37.5	32.6	18.8
34.9	89.2	83.6	88.8	49.6	34.8	21.5	25.6	25.7	18.5
40.9	108.5	105	104.5	59.6	40.8	23.2	35.2	28.6	20.1
38.9	111.1	111.5	101.7	60.3	37.3	21.5	31.3	27.2	18
38.9	108.3	101.3	97.8	56	41.6	22.7	30.5	29.4	19.8
40.8	112.4	108.5	107.1	59.3	42.2	24.6	33.7	30	20.9
